date,year,month,day,event_text,category,source_pages
1000-03-25,1000,3,25,Fatimid caliph al-Hakim bi-Amr Allah assassinates the eunuch chief minister Barjawan and assumes control of the government.,standard,AD_1000; Fatimid_Caliphate; Al-Hakim_bi-Amr_Allah; Barjawan
1000-09-09,1000,9,9,"Battle of Svolder, Viking Age.",standard,AD_1000; Battle_of_Svolder; Viking_Age; September_9
1000-12-25,1000,12,25,The foundation of the Kingdom of Hungary: Hungary is established as a Christian kingdom by Stephen I of Hungary.,standard,AD_1000; Kingdom_of_Hungary; Stephen_I_of_Hungary; December_25
1001-01-01,1001,1,1,Grand Prince Stephen I of Hungary is named the first King of Hungary by Pope Sylvester II (probable).,standard,Stephen_I_of_Hungary; King_of_Hungary; Pope_Sylvester_II; January_1
1002-02-15,1002,2,15,"At an assembly at Pavia of Lombard nobles, Arduin of Ivrea is restored to his domains and crowned King of Italy.",standard,Pavia; Lombardy; Arduin_of_Ivrea; King_of_Italy; February_15
1002-06-07,1002,6,7,"Henry II, a cousin of Emperor Otto III, is elected and crowned King of Germany.",standard,"Henry_II,_Holy_Roman_Emperor; Otto_III,_Holy_Roman_Emperor; Kingdom_of_Germany; June_7"
1002-11-13,1002,11,13,"English king Æthelred II orders the killing of all Danes in England, known today as the St. Brice's Day massacre.",standard,Æthelred_the_Unready; Danes_(tribe); St_Brice's_Day_massacre; November_13
1003-02-09,1003,2,9,Boleslaus III is restored to authority with armed support from Bolesław I the Brave of Poland.,standard,"Boleslaus_III,_Duke_of_Bohemia; Bolesław_I_the_Brave; Greater_Poland"
1009-03-09,1009,3,9,"First known mention of Lithuania, in the annals of the monastery of Quedlinburg.",standard,Lithuania; Annals_of_Quedlinburg; Quedlinburg; March_9
1009-05-09,1009,5,9,Lombard Revolt: Lombard forces led by Melus revolt in Bari against the Byzantine Catepanate of Italy.,standard,Norman_conquest_of_southern_Italy; Melus_of_Bari; Bari; Catepanate_of_Italy
1009-07-31,1009,7,31,"Pope Sergius IV becomes the 142nd pope, succeeding Pope John XVIII.",standard,Pope_Sergius_IV; Pope_John_XVIII
1009-08-29,1009,8,29,"Mainz Cathedral suffers extensive damage from a fire, which destroys the building on the day of its inauguration.",standard,Mainz_Cathedral; Inauguration
1009-10-18,1009,10,18,"The Church of the Holy Sepulchre, a Christian church in Jerusalem, is completely destroyed by the Fatimid caliph Al-Hakim bi-Amr Allah, who hacks the Church's foundations down to bedrock.",standard,Church_of_the_Holy_Sepulchre; Jerusalem; List_of_Fatimid_caliphs; Al-Hakim_bi-Amr_Allah; Bedrock
1009-11-01,1009,11,1,Berber forces led by Sulayman ibn al-Hakam defeat the Umayyad caliph Muhammad II of Córdoba in the battle of Alcolea.,standard,Berbers; Sulayman_ibn_al-Hakam; Umayyad_Caliphate; Muhammad_II_of_Córdoba; Alcolea
1010-03-08,1010,3,8,Ferdowsi completes his epic poem Shahnameh.,standard,Ferdowsi; Shahnameh; March_8
1011-06-11,1011,6,11,"Lombard Revolt: Greek citizens of Bari rise up against the Lombard rebels led by Melus and deliver the city to Basil Mesardonites, Byzantine governor (catepan) of the Catepanate of Italy.",standard,Norman_conquest_of_southern_Italy; Bari; Lombardy; Melus_of_Bari; Basil_Mesardonites; Katepano; Catepanate_of_Italy
1011-09-29,1011,9,29,"Danes capture Canterbury after a siege, taking Ælfheah, archbishop of Canterbury, as a prisoner.",standard,Siege_of_Canterbury; Ælfheah_of_Canterbury; Archbishop_of_Canterbury; September_29
1012-04-12,1012,4,12,"Duke Oldřich of Bohemia deposes and blinds his brother Jaromír, who flees to Poland.[citation needed]",standard,"Oldřich,_Duke_of_Bohemia; Jaromír,_Duke_of_Bohemia; Greater_Poland; Wikipedia:Citation_needed"
1013-12-25,1013,12,25,Sweyn Forkbeard takes control of the Danelaw and is proclaimed king of England.,standard,Sweyn_Forkbeard; Danelaw; Kingdom_of_England; December_25
1014-02-14,1014,2,14,"Pope Benedict VIII crowns Henry of Bavaria, King of Germany and of Italy, as Holy Roman Emperor.",standard,"Pope_Benedict_VIII; Henry_II,_Holy_Roman_Emperor; Monarchy; Holy_Roman_Emperor; February_14"
1014-04-23,1014,4,23,"Battle of Clontarf: High King of Ireland Brian Boru defeats Viking invaders, but is killed in battle.",standard,Battle_of_Clontarf; Brian_Boru; Vikings
1014-07-29,1014,7,29,"Byzantine–Bulgarian wars: Battle of Kleidion: Byzantine emperor Basil II inflicts a decisive defeat on the Bulgarian army, and his subsequent treatment of 15,000 prisoners reportedly causes Tsar Samuil of Bulgaria to die of a heart attack less than three months later, on October 6.",standard,Byzantine–Bulgarian_wars; Battle_of_Kleidion; List_of_Byzantine_emperors; Basil_II; Bulgaria; Samuel_of_Bulgaria; October_6
1016-04-23,1016,4,23,Edmund Ironside succeeds his father Æthelred the Unready as King of England.,standard,Edmund_Ironside; Æthelred_the_Unready; April_23
1016-10-18,1016,10,18,The Danes defeat the English in the Battle of Assandun.,standard,Danes; England; Battle_of_Assandun
1018-01-30,1018,1,30,Poland and the Holy Roman Empire conclude the Peace of Bautzen.,standard,Poland; Holy_Roman_Empire; Peace_of_Bautzen; January_30
1018-07-29,1018,7,29,Count Dirk III defeats an army sent by Emperor Henry II in the Battle of Vlaardingen.,standard,"Dirk_III,_Count_of_Holland; Henry_II,_Holy_Roman_Emperor; Battle_of_Vlaardingen"
1018-08-15,1018,8,15,"Byzantine general Eustathios Daphnomeles blinds and captures Ibatzes of Bulgaria by a ruse, thereby ending Bulgarian resistance against Emperor Basil II's conquest of Bulgaria.",standard,Eustathios_Daphnomeles; Ivats; Basil_II; Byzantine_conquest_of_Bulgaria
1021-03-26,1021,3,26,"The death of the Fatimid caliph al-Hakim bi-Amr Allah, kept secret for six weeks, is announced, along with the succession of his son, al-Zahir li-i'zaz Din Allah.",standard,Fatimid_Caliphate; Al-Hakim_bi-Amr_Allah; Al-Zahir_li-I'zaz_Din_Allah; March_26
1025-12-15,1025,12,15,"Constantine VIII becomes sole emperor of the Byzantine Empire, 63 years after being crowned co-emperor.",standard,Constantine_VIII; List_of_Byzantine_emperors; Byzantine_Empire; December_15
1025-12-25,1025,12,25,Coronation of Mieszko II Lambert as king of Poland.,standard,Mieszko_II_Lambert
1027-03-26,1027,3,26,Pope John XIX crowns Conrad II as Holy Roman Emperor.,standard,"Pope_John_XIX; Conrad_II,_Holy_Roman_Emperor; Holy_Roman_Emperor"
1027-05-14,1027,5,14,Robert II of France names his son Henry I as junior King of the Franks.,standard,Robert_II_of_France; Henry_I_of_France; May_14
1028-11-11,1028,11,11,"Constantine VIII dies, ending his uninterrupted reign as emperor or co-emperor of the Byzantine Empire of 66 years.",standard,Constantine_VIII; List_of_Byzantine_emperors; Byzantine_Empire
1028-11-12,1028,11,12,Future Byzantine empress Zoe takes the throne as empress consort to Romanos III Argyros.,standard,List_of_Byzantine_emperors; Zoe_Porphyrogenita; Romanos_III_Argyros; November_12
1030-07-29,1030,7,29,Ladejarl-Fairhair succession wars: Battle of Stiklestad: King Olaf II fights and dies trying to regain his Norwegian throne from the Danes.,standard,Earls_of_Lade; History_of_the_Norwegian_monarchy; Battle_of_Stiklestad; Saint_Olaf; List_of_Norwegian_monarchs; Danes
1030-08-10,1030,8,10,"The Battle of Azaz ends with a humiliating retreat of the Byzantine emperor, Romanos III Argyros, against the Mirdasid rulers of Aleppo. The retreat degenerates into a rout, in which Romanos himself barely escapes capture.",standard,Battle_of_Azaz_(1030); Romanos_III_Argyros; Mirdasid_dynasty; Aleppo; August_10
1031-08-03,1031,8,3,"Olaf II of Norway is canonized as Saint Olaf by Grimketel, the English Bishop of Selsey.",standard,Saint_Olaf; Grimketel; Bishop_of_Chichester
1033-12-05,1033,12,5,"The Jordan Rift Valley earthquake destroys multiple cities across the Levant, triggers a tsunami and kills many.",standard,1033_Jordan_Valley_earthquake; List_of_largest_cities_in_the_Levant_region_by_population; Levant; Tsunami; December_5
1034-11-25,1034,11,25,"Máel Coluim mac Cináeda, King of Scots, dies. His grandson, Donnchad, son of Bethóc and Crínán of Dunkeld, inherits the throne.",standard,Malcolm_II_of_Scotland; Monarchy_of_the_United_Kingdom; Duncan_I_of_Scotland; Bethóc; Crínán_of_Dunkeld
1035-07-03,1035,7,3,"William the Conqueror becomes the Duke of Normandy, reigning until 1087.",standard,William_the_Conqueror; Duke_of_Normandy
1038-01-09,1038,1,9,"An earthquake in Dingxiang, China kills an estimated 32,300.",standard,1038_Dingxiang_earthquake; Dingxiang_County; January_9
1038-08-15,1038,8,15,"King Stephen I, the first king of Hungary, dies; his nephew, Peter Orseolo, succeeds him.",standard,"Stephen_I_of_Hungary; Peter,_King_of_Hungary"
1040-08-14,1040,8,14,King Duncan I is killed in battle against his first cousin and rival Macbeth. The latter succeeds him as King of Scotland.,standard,"Duncan_I_of_Scotland; Macbeth,_King_of_Scotland; List_of_Scottish_monarchs; August_14"
1041-12-11,1041,12,11,"Michael V, adoptive son of Empress Zoë of Byzantium, is proclaimed emperor of the Eastern Roman Empire.",standard,Michael_V_Kalaphates; Zoe_Porphyrogenita; Byzantine_Empire; December_11
1042-06-08,1042,6,8,Edward the Confessor becomes King of England – the country's penultimate Anglo-Saxon king.,standard,Edward_the_Confessor; Monarchy_of_the_United_Kingdom; June_8
1043-04-03,1043,4,3,Edward the Confessor is crowned King of England.,standard,Edward_the_Confessor; Monarchy_of_the_United_Kingdom; April_3
1046-03-05,1046,3,5,Nasir Khusraw begins the seven-year Middle Eastern journey which he will later describe in his book Safarnama.,standard,Nasir_Khusraw; Safarnama
1046-12-25,1046,12,25,Henry III is crowned Holy Roman Emperor by Pope Clement II.,standard,"Henry_III,_Holy_Roman_Emperor; Holy_Roman_Emperor; Pope_Clement_II; December_25"
